	Genes	Counts	log2_value
14525	AT3G28635	24	4.584962500721156
14526	AT3G28640	67	6.066089190457772
14527	AT3G28650	2	1.0
14528	AT3G28660	29	4.857980995127572
14529	AT3G28670	382	8.577428828035748
14530	AT3G28674	1	0.0
14531	AT3G28680	1	0.0
14532	AT3G28690	976	9.930737337562887
14533	AT3G28700	152	7.247927513443585
14534	AT3G28710	4329	12.079818085212354
14535	AT3G28715	1604	10.64745842645492
14536	AT3G28720	409	8.67595703294175
14537	AT3G28730	1640	10.679480099505446
14538	AT3G28740	145	7.1799090900149345
14539	AT3G28750	6	2.584962500721156
14540	AT3G28760	23	4.523561956057013
14541	AT3G28770	20	4.321928094887363
14542	AT3G28780	3	1.584962500721156
14543	AT3G28785	1	0.0
14544	AT3G28790	1	0.0
14545	AT3G28810	1	0.0
14546	AT3G28820	1	0.0
14547	AT3G28830	1	0.0
14548	AT3G28840	2	1.0
14549	AT3G28850	75	6.22881869049588
14550	AT3G28853	1	0.0
14551	AT3G28857	1	0.0
14552	AT3G28860	464	8.857980995127573
14553	AT3G28870	1	0.0
14554	AT3G28875	3	1.584962500721156
14555	AT3G28880	11	3.4594316186372973
14556	AT3G28890	4	2.0
14557	AT3G28899	2	1.0
14558	AT3G28900	870	9.76487159073609
14559	AT3G28910	187	7.546894459887636
14560	AT3G28917	1	0.0
14561	AT3G28918	1	0.0
14562	AT3G28920	1513	10.563196272216738
14563	AT3G28922	1	0.0
14564	AT3G28925	1	0.0
14565	AT3G28930	666	9.379378367071261
14566	AT3G28940	4808	12.231221180711186
14567	AT3G28950	210	7.714245517666122
14568	AT3G28956	69	6.108524456778169
14569	AT3G28958	4	2.0
14570	AT3G28960	14	3.807354922057604
14571	AT3G28970	366	8.515699838284043
14572	AT3G28980	1	0.0
14573	AT3G28990	1	0.0
14574	AT3G29000	2	1.0
14575	AT3G29010	36	5.169925001442312
14576	AT3G29020	1	0.0
14577	AT3G29030	26	4.700439718141092
14578	AT3G29033	1	0.0
14579	AT3G29034	39	5.285402218862249
14580	AT3G29035	675	9.398743691938193
14581	AT3G29040	1	0.0
14582	AT3G29050	1	0.0
14583	AT3G29060	2	1.0
14584	AT3G29070	1	0.0
14585	AT3G29075	447	8.804131021183318
14586	AT3G29080	1	0.0
14587	AT3G29090	428	8.741466986401146
14588	AT3G29100	80	6.321928094887363
14589	AT3G29110	1	0.0
14590	AT3G29130	157	7.294620748891627
14591	AT3G29140	86	6.426264754702098
14592	AT3G29152	1	0.0
14593	AT3G29160	978	9.933690654952233
14594	AT3G29170	176	7.459431618637297
14595	AT3G29173	2	1.0
14596	AT3G29180	1205	10.234817431117325
14597	AT3G29185	883	9.786269627648466
14598	AT3G29190	3	1.584962500721156
14599	AT3G29200	557	9.121533517340032
14600	AT3G29230	168	7.392317422778761
14601	AT3G29240	6903	12.753007768945245
14602	AT3G29250	2	1.0
14603	AT3G29255	1	0.0
14604	AT3G29260	1	0.0
14605	AT3G29270	474	8.888743248898258
14606	AT3G29280	27	4.754887502163468
14607	AT3G29290	468	8.870364719583405
14608	AT3G29300	1	0.0
14609	AT3G29305	1	0.0
14610	AT3G29310	437	8.7714894695006
14611	AT3G29320	1696	10.727920454563199
14612	AT3G29330	102	6.672425341971495
14613	AT3G29340	1	0.0
14614	AT3G29350	333	8.379378367071261
14615	AT3G29360	695	9.44086916761087
14616	AT3G29370	16	4.0
14617	AT3G29375	265	8.049848549450562
14618	AT3G29380	1	0.0
14619	AT3G29385	1	0.0
14620	AT3G29390	1483	10.53430288245463
14621	AT3G29400	263	8.038918989292302
14622	AT3G29410	1	0.0
14623	AT3G29430	1	0.0
14624	AT3G29450	1	0.0
14625	AT3G29455	1	0.0
14626	AT3G29560	1	0.0
14627	AT3G29570	1	0.0
14628	AT3G29575	26	4.700439718141092
14629	AT3G29580	1	0.0
14630	AT3G29590	1	0.0
14631	AT3G29630	1	0.0
14632	AT3G29631	1	0.0
14633	AT3G29633	2	1.0
14634	AT3G29635	1	0.0
14635	AT3G29636	1	0.0
14636	AT3G29637	2	1.0
14637	AT3G29638	2	1.0
14638	AT3G29639	4	2.0
14639	AT3G29645	1	0.0
14640	AT3G29670	356	8.475733430966399
14641	AT3G29680	73	6.189824558880018
14642	AT3G29690	4	2.0
14643	AT3G29720	1	0.0
14644	AT3G29740	1	0.0
14645	AT3G29750	1	0.0
14646	AT3G29760	248	7.954196310386875
14647	AT3G29763	1	0.0
14648	AT3G29765	1	0.0
14649	AT3G29770	161	7.330916878114617
14650	AT3G29780	1	0.0
14651	AT3G29785	1	0.0
14652	AT3G29790	1	0.0
14653	AT3G29791	1	0.0
14654	AT3G29794	1	0.0
14655	AT3G29796	1	0.0
14656	AT3G29797	1	0.0
14657	AT3G29800	1	0.0
14658	AT3G29810	229	7.839203788096944
14659	AT3G29830	1	0.0
14660	AT3G29970	1	0.0
14661	AT3G30160	1	0.0
14662	AT3G30165	1	0.0
14663	AT3G30180	172	7.426264754702098
14664	AT3G30200	1	0.0
14665	AT3G30210	1	0.0
14666	AT3G30220	1	0.0
14667	AT3G30222	1	0.0
14668	AT3G30230	1	0.0
14669	AT3G30235	1	0.0
14670	AT3G30247	1	0.0
14671	AT3G30260	1	0.0
14672	AT3G30280	1	0.0
14673	AT3G30290	1	0.0
14674	AT3G30300	349	8.447083226209653
14675	AT3G30305	6	2.584962500721156
14676	AT3G30320	1	0.0
14677	AT3G30340	2	1.0
14678	AT3G30350	1	0.0
14679	AT3G30370	1	0.0
14680	AT3G30380	161	7.330916878114617
14681	AT3G30383	1	0.0
14682	AT3G30385	1	0.0
14683	AT3G30387	1	0.0
14684	AT3G30390	3991	11.962534563511271
14685	AT3G30430	1	0.0
14686	AT3G30460	2	1.0
14687	AT3G30520	1	0.0
14688	AT3G30525	1	0.0
14689	AT3G30530	1	0.0
14690	AT3G30540	1	0.0
14691	AT3G30580	1	0.0
14692	AT3G30705	1	0.0
14693	AT3G30720	173	7.434628227636725
14694	AT3G30725	1	0.0
14695	AT3G30730	1	0.0
14696	AT3G30739	1	0.0
14697	AT3G30770	5	2.321928094887362
14698	AT3G30775	29729	14.859583315405006
14699	AT3G30805	1	0.0
14700	AT3G30820	1	0.0
14701	AT3G30823	1	0.0
14702	AT3G30840	1	0.0
14703	AT3G30841	205	7.679480099505446
14704	AT3G30842	4	2.0
14705	AT3G30845	1	0.0
14706	AT3G31350	1	0.0
14707	AT3G31402	1	0.0
14708	AT3G31430	1	0.0
14709	AT3G31550	1	0.0
14710	AT3G31560	1	0.0
14711	AT3G31900	1	0.0
14712	AT3G31910	1	0.0
14713	AT3G31925	1	0.0
14714	AT3G31950	1	0.0
14715	AT3G32030	1	0.0
14716	AT3G32040	1	0.0
14717	AT3G32047	1	0.0
14718	AT3G32050	1	0.0
14719	AT3G32090	1	0.0
14720	AT3G32130	1	0.0
14721	AT3G32150	1	0.0
14722	AT3G32160	1	0.0
14723	AT3G32180	1	0.0
14724	AT3G32190	1	0.0
14725	AT3G32200	1	0.0
14726	AT3G32260	1	0.0
14727	AT3G32280	1	0.0
14728	AT3G32330	1	0.0
14729	AT3G32380	1	0.0
14730	AT3G32400	1	0.0
14731	AT3G32410	1	0.0
14732	AT3G32420	1	0.0
14733	AT3G32896	1	0.0
14734	AT3G32904	1	0.0
14735	AT3G32920	7	2.807354922057604
14736	AT3G32930	1202	10.231221180711186
14737	AT3G32940	719	9.489847960439297
14738	AT3G32960	1	0.0
14739	AT3G32980	569	9.152284842306582
14740	AT3G33187	1	0.0
14741	AT3G33293	1	0.0
14742	AT3G33393	1	0.0
14743	AT3G33494	1	0.0
14744	AT3G33520	682	9.413627929024173
14745	AT3G33528	3	1.584962500721156
14746	AT3G33530	1792	10.807354922057604
14747	AT3G36659	1	0.0
14748	AT3G41762	5	2.321928094887362
14749	AT3G42050	2958	11.530406337099068
14750	AT3G42060	1	0.0
14751	AT3G42075	1	0.0
14752	AT3G42130	1	0.0
14753	AT3G42140	1	0.0
14754	AT3G42148	2	1.0
14755	AT3G42150	538	9.071462362556623
14756	AT3G42153	1	0.0
14757	AT3G42155	1	0.0
14758	AT3G42160	1	0.0
14759	AT3G42170	1218	10.250298417906333
14760	AT3G42180	4	2.0
14761	AT3G42310	1	0.0
14762	AT3G42390	1	0.0
14763	AT3G42473	1	0.0
14764	AT3G42550	1	0.0
14765	AT3G42560	1	0.0
14766	AT3G42565	1	0.0
