	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
2764	2832	2952	3563	AT1G36623	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.584962500721156	5
2768	2836	2957	3571	AT1G36922	0.0	0.0	0.0	1.584962500721156	1.0	0.0	0.0	2.0	5
2770	2838	2959	3575	AT1G36950	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.584962500721156	5
2773	2841	2962	3583	AT1G37113	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	5
2922	2995	3128	3856	AT1G47980	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	5
3046	3123	3260	4027	AT1G49640	0.0	0.0	0.0	5.247927513443585	0.0	0.0	1.584962500721156	4.321928094887364	5
3060	3137	3275	4046	AT1G49830	2.0	0.0	2.584962500721156	0.0	1.584962500721156	0.0	0.0	0.0	5
3098	3175	3314	4093	AT1G50350	0.0	0.0	1.584962500721156	2.807354922057604	0.0	0.0	0.0	2.807354922057604	5
3136	3213	3352	4139	AT1G50820	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5
3146	3224	3363	4161	AT1G51055	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	5
3157	3235	3374	4175	AT1G51190	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	5
3178	3257	3398	4211	AT1G51530	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.584962500721156	5
3179	3258	3399	4212	AT1G51538	0.0	0.0	0.0	1.584962500721156	0.0	1.0	0.0	1.0	5
3242	3325	3468	4299	AT1G52343	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.584962500721156	5
3305	3390	3534	4379	AT1G53080	0.0	0.0	1.0	1.584962500721156	0.0	0.0	2.807354922057604	0.0	5
3363	3448	3598	4451	AT1G53690	0.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	1.0	5
3378	3464	3615	4475	AT1G53890	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	5
3421	3507	3661	4532	AT1G54400	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	5
3426	3512	3666	4539	AT1G54470	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	5
3432	3519	3673	4546	AT1G54540	2.3219280948873617	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5
3512	3606	3766	4663	AT1G55673	1.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	5
3619	3719	3881	4805	AT1G57730	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5
3652	3753	3917	4855	AT1G58265	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	5
3684	3785	3952	4915	AT1G59670	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	5
3732	3833	4005	4996	AT1G60500	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5
3750	3851	4024	5019	AT1G60760	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	5
3776	3878	4051	5058	AT1G61080	0.0	1.0	1.584962500721156	0.0	0.0	0.0	1.584962500721156	0.0	5
3778	3880	4053	5065	AT1G61110	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	5
3783	3885	4058	5071	AT1G61165	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	5
3812	3916	4091	5106	AT1G61480	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	5
3868	3972	4149	5186	AT1G62262	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5
3959	4064	4249	5305	AT1G63320	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	5
3960	4065	4250	5306	AT1G63330	1.0	0.0	1.0	0.0	0.0	1.584962500721156	0.0	0.0	5
3988	4094	4281	5344	AT1G63710	2.3219280948873617	0.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	5
4011	4117	4307	5371	AT1G64010	0.0	0.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	1.0	5
4122	4229	4426	5515	AT1G65310	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	5
4124	4231	4428	5517	AT1G65330	2.584962500721156	0.0	1.0	0.0	2.0	0.0	0.0	0.0	5
4135	4242	4440	5535	AT1G65480	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	5
4160	4268	4469	5572	AT1G65810	0.0	1.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	5
4177	4285	4486	5594	AT1G66040	0.0	0.0	0.0	1.584962500721156	1.0	0.0	0.0	3.0	5
4247	4357	4564	5699	AT1G67035	0.0	0.0	1.0	2.3219280948873617	1.584962500721156	0.0	0.0	0.0	5
4260	4371	4578	5718	AT1G67220	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.584962500721156	5
4265	4377	4584	5726	AT1G67290	0.0	1.0	3.0	0.0	0.0	2.3219280948873617	0.0	0.0	5
4338	4452	4664	5813	AT1G68090	1.584962500721156	0.0	0.0	1.584962500721156	0.0	0.0	0.0	1.0	5
4345	4460	4673	5822	AT1G68180	1.584962500721156	0.0	0.0	2.0	0.0	1.0	0.0	0.0	5
4353	4468	4681	5831	AT1G68250	0.0	2.0	0.0	1.584962500721156	0.0	0.0	2.0	0.0	5
4362	4477	4690	5843	AT1G68360	0.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	3.3219280948873617	5
4429	4546	4760	5926	AT1G69085	1.584962500721156	0.0	1.0	0.0	0.0	1.0	0.0	0.0	5
4501	4619	4835	6014	AT1G69920	1.0	0.0	0.0	1.584962500721156	0.0	0.0	0.0	2.3219280948873617	5
4542	4660	4881	6069	AT1G70470	0.0	0.0	1.0	0.0	1.584962500721156	0.0	0.0	1.0	5
4547	4665	4886	6075	AT1G70510	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.584962500721156	5
4563	4681	4902	6092	AT1G70680	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5
4690	4812	5040	6250	AT1G72270	0.0	1.0	1.0	0.0	1.584962500721156	0.0	0.0	0.0	5
4778	4902	5136	6358	AT1G73300	1.584962500721156	0.0	1.0	0.0	0.0	0.0	1.0	0.0	5
4797	4921	5155	6379	AT1G73510	0.0	1.0	1.584962500721156	0.0	0.0	1.584962500721156	0.0	0.0	5
4800	4924	5158	6382	AT1G73550	1.0	1.584962500721156	0.0	0.0	0.0	0.0	1.0	0.0	5
4822	4947	5181	6408	AT1G73780	0.0	1.0	1.0	1.584962500721156	0.0	0.0	0.0	0.0	5
4865	4991	5225	6455	AT1G74190	1.0	0.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	5
4989	5119	5356	6595	AT1G75600	1.0	0.0	0.0	1.584962500721156	1.0	0.0	0.0	0.0	5
5012	5143	5380	6623	AT1G75890	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5
5315	5456	5703	6981	AT1G79320	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5
5413	5556	5804	7092	AT1G80390	1.0	0.0	1.0	1.584962500721156	0.0	0.0	0.0	0.0	5
5443	5587	5835	7128	AT1G80730	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5
5531	5678	5931	7240	AT2G01810	0.0	0.0	0.0	1.0	2.3219280948873617	0.0	0.0	1.584962500721156	5
5539	5686	5939	7250	AT2G01905	2.0	0.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	5
