	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
14247	14528	14865	15294	15990	19856	AT4G28556	0.0	1.584962500721156	1.0	0.0	2.0	0.0	1.0	1.0	3
14266	14547	14884	15313	16011	19879	AT4G28755	1.584962500721156	1.584962500721156	2.3219280948873617	0.0	0.0	1.584962500721156	1.0	0.0	3
14272	14553	14891	15320	16019	19887	AT4G28815	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	3
14275	14556	14894	15323	16022	19890	AT4G28840	0.0	0.0	1.584962500721156	1.0	1.584962500721156	1.0	0.0	1.0	3
14314	14597	14937	15367	16069	19957	AT4G29470	2.3219280948873617	1.0	2.3219280948873617	0.0	1.0	1.0	0.0	0.0	3
14324	14607	14947	15377	16080	19968	AT4G29580	1.0	1.584962500721156	2.584962500721156	0.0	1.584962500721156	1.584962500721156	0.0	0.0	3
14341	14625	14965	15395	16100	19993	AT4G29800	1.584962500721156	1.0	1.0	0.0	1.0	1.584962500721156	0.0	0.0	3
14355	14639	14979	15409	16114	20007	AT4G29930	1.0	2.0	1.584962500721156	0.0	4.247927513443585	0.0	3.807354922057604	0.0	3
14373	14657	14997	15427	16132	20036	AT4G30180	0.0	0.0	1.0	4.459431618637297	0.0	1.0	1.0	2.584962500721156	3
14380	14664	15004	15434	16139	20043	AT4G30250	1.584962500721156	3.0	2.0	0.0	0.0	1.0	2.0	0.0	3
14616	14906	15253	15693	16404	20340	AT4G32950	0.0	0.0	4.857980995127573	3.4594316186372973	2.584962500721156	3.0	0.0	2.584962500721156	3
14646	14936	15283	15723	16434	20373	AT4G33280	1.0	0.0	1.0	2.3219280948873617	2.0	0.0	2.0	0.0	3
14647	14937	15284	15724	16435	20374	AT4G33290	0.0	1.0	1.0	2.3219280948873617	2.0	0.0	2.807354922057604	0.0	3
14691	14981	15329	15770	16483	20430	AT4G33790	2.0	0.0	3.4594316186372973	1.0	0.0	2.3219280948873617	1.584962500721156	0.0	3
14703	14994	15342	15784	16498	20452	AT4G33970	0.0	2.584962500721156	0.0	0.0	1.0	2.0	1.0	2.0	3
14722	15013	15361	15803	16517	20471	AT4G34139	0.0	1.0	0.0	2.0	1.0	1.0	0.0	2.584962500721156	3
14740	15031	15379	15822	16536	20492	AT4G34320	2.0	0.0	1.584962500721156	1.0	0.0	1.584962500721156	0.0	1.0	3
14749	15040	15388	15831	16545	20502	AT4G34410	1.584962500721156	4.523561956057013	2.807354922057604	0.0	2.0	0.0	5.426264754702097	0.0	3
14758	15049	15397	15840	16556	20514	AT4G34510	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3
14765	15056	15404	15847	16563	20522	AT4G34580	2.3219280948873617	0.0	3.169925001442312	1.0	2.0	1.584962500721156	0.0	0.0	3
14789	15080	15429	15872	16589	20548	AT4G34850	0.0	0.0	1.0	3.0	2.807354922057604	0.0	1.0	2.0	3
14887	15179	15529	15977	16696	20675	AT4G36000	1.584962500721156	1.584962500721156	0.0	2.0	1.584962500721156	0.0	0.0	2.584962500721156	3
14925	15217	15569	16018	16738	20720	AT4G36490	1.584962500721156	1.0	1.0	1.0	0.0	0.0	1.0	0.0	3
15010	15303	15656	16110	16832	20821	AT4G37410	1.0	1.584962500721156	0.0	0.0	3.3219280948873617	1.0	2.584962500721156	0.0	3
15066	15359	15716	16170	16894	20891	AT4G38062	3.0	1.0	3.3219280948873617	0.0	1.584962500721156	2.807354922057604	0.0	0.0	3
15197	15491	15852	16310	17037	21050	AT4G39610	1.0	1.0	2.0	0.0	0.0	0.0	1.0	2.584962500721156	3
15215	15509	15871	16329	17057	21075	AT4G39810	1.584962500721156	1.584962500721156	2.3219280948873617	0.0	0.0	2.0	0.0	2.3219280948873617	3
15273	15569	15932	16391	17123	21150	AT5G01330	1.0	0.0	0.0	1.0	2.3219280948873617	1.0	1.0	0.0	3
