	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
17807	18221	18736	19567	24122	AT5G36960	1.584962500721156	1.0	1.584962500721156	0.0	1.0	0.0	0.0	0.0	4
17816	18231	18747	19579	24146	AT5G37240	0.0	1.584962500721156	0.0	0.0	0.0	1.0	1.0	1.0	4
17859	18274	18793	19628	24220	AT5G37950	1.0	1.0	0.0	1.0	0.0	0.0	1.584962500721156	0.0	4
17863	18279	18799	19634	24227	AT5G38020	0.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	1.0	1.584962500721156	4
17911	18329	18851	19690	24310	AT5G38743	1.0	0.0	1.584962500721156	3.169925001442312	0.0	0.0	0.0	1.0	4
17913	18332	18855	19694	24314	AT5G38770	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	4
17924	18344	18867	19707	24332	AT5G38940	1.584962500721156	0.0	0.0	1.584962500721156	1.0	0.0	0.0	4.459431618637297	4
17946	18366	18894	19739	24377	AT5G39390	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	4
17948	18368	18896	19741	24380	AT5G39420	1.584962500721156	1.0	1.584962500721156	1.584962500721156	0.0	0.0	0.0	0.0	4
18085	18509	19042	19900	24580	AT5G41280	2.3219280948873617	1.584962500721156	0.0	0.0	3.3219280948873617	0.0	2.5849625007211556	0.0	4
18093	18518	19051	19909	24591	AT5G41380	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	4
18094	18519	19052	19910	24592	AT5G41390	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	4
18130	18556	19089	19950	24646	AT5G41890	2.5849625007211556	2.0	0.0	0.0	2.0	2.3219280948873617	0.0	0.0	4
18165	18591	19126	19989	24691	AT5G42290	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.584962500721156	4
18182	18608	19144	20007	24712	AT5G42490	0.0	0.0	1.0	2.0	1.584962500721156	0.0	0.0	2.3219280948873617	4
18183	18609	19145	20008	24713	AT5G42500	0.0	1.584962500721156	1.584962500721156	0.0	2.3219280948873617	0.0	1.0	0.0	4
18242	18671	19209	20072	24800	AT5G43200	1.584962500721156	1.0	0.0	0.0	1.584962500721156	0.0	0.0	2.0	4
18252	18681	19219	20083	24816	AT5G43350	0.0	0.0	1.0	1.0	1.584962500721156	0.0	0.0	1.0	4
18263	18694	19233	20097	24838	AT5G43530	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	4
18268	18700	19240	20105	24850	AT5G43650	1.0	1.584962500721156	1.584962500721156	0.0	0.0	0.0	3.4594316186372973	0.0	4
18398	18831	19378	20245	25018	AT5G45095	0.0	1.584962500721156	1.0	0.0	0.0	1.0	0.0	1.0	4
