	Unnamed: 0	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
2229	2581	AT1G25540	8.233619676759702	8.791162888555018	9.381542951184583	9.987264012072536	9.442943495848725	8.361943773735241	7.86418614465428	10.193525360501217	0
2230	2582	AT1G25550	8.266786540694902	7.826548487290915	9.64565843240871	9.250298417906333	8.51175265376738	8.154818109052105	7.451211111832329	10.95274124718649	0
2231	2583	AT1G25560	9.746514321138463	9.89178370321831	9.355351096424812	11.532842910961282	11.339293300180097	9.287712379549447	9.162391328756906	12.51298730941902	0
2232	2584	AT1G25570	8.503825737995749	8.459431618637296	9.623881490013458	8.857980995127571	9.4797802640291	8.658211482751796	7.686500527183218	9.257387842692651	0
2233	2585	AT1G25580	7.400879436282184	8.044394119358454	7.700439718141093	7.622051819456375	8.483815777264255	6.129283016944966	6.930737337562888	7.839203788096943	0
2234	2586	AT1G25682	7.971543553950772	8.794415866350105	9.044394119358452	9.45532722030456	9.016808287686557	8.154818109052105	8.038918989292304	9.665335917185175	0
2236	2588	AT1G26090	7.794415866350106	8.271463027904375	9.036173612553485	8.055282435501187	8.76487159073609	7.8703647195834066	7.330916878114617	8.144658242831882	0
2237	2589	AT1G26100	5.977279923499918	6.303780748177103	6.954196310386875	3.3219280948873617	7.0223678130284535	6.0443941193584525	5.930737337562888	2.807354922057604	0
2238	2590	AT1G26110	11.279030136449649	11.357552004618087	12.410186320725096	12.467605550082991	12.389631339260525	11.38747886584238	10.503825737995749	12.525276097867124	0
2239	2591	AT1G26120	7.734709620225838	8.43879185257826	8.658211482751796	8.299208018387281	8.573647187493322	7.651051691178927	7.523561956057013	8.139551352398794	0
2240	2592	AT1G26130	8.016808287686555	9.126704472843189	8.72451385311995	7.888743248898258	8.527477006060396	7.679480099505445	8.049848549450562	7.857980995127572	0
2241	2593	AT1G26140	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	6
2242	2594	AT1G26150	10.376125389276174	11.3157156580222	11.746094383705465	10.745674324002136	11.659549996879866	10.710806433699352	10.923327485419192	10.526499239136566	0
2243	2595	AT1G26160	7.86418614465428	7.954196310386875	9.231221180711186	9.036173612553485	8.951284714966974	8.113742166049189	7.312882955284356	9.29232163280204	0
2244	2596	AT1G26170	8.434628227636725	8.731319031025064	9.679480099505446	9.419960177847887	9.614709844115207	8.778077129535358	8.144658242831882	9.422064766172811	0
2245	2597	AT1G26180	7.994353436858858	7.434628227636725	9.375039431346924	8.154818109052105	9.113742166049187	8.370687406807217	7.294620748891628	8.209453365628951	0
